['Chindia Targoviste - AFC Hermannstadt'],39%,2.6 2.9 4.0,2022-07-18T17:58:38.184661,2022-07-18T17:58:38.184661,0.0
['FC Botoşani Chindia Târgovişte'],39%,2.6 2.95 3.95,2022-07-18T17:58:38.185642,2022-07-18T17:58:38.185642,0.0
['Mioveni Farul Constanța'],39%,3.0 3.05 3.4,2022-07-18T17:58:38.186642,2022-07-18T17:58:38.186642,0.0
['U Craiova 1948 SA CFR Cluj'],39%,3.9 3.2 4.1,2022-07-18T17:58:38.187633,2022-07-18T17:58:38.187633,0.0
['Universitatea Cluj Universitatea Craiova'],39%,4.2 3.2 4.0,2022-07-18T17:58:38.188650,2022-07-18T17:58:38.188650,0.0
['Rapid Bucureşti FCSB'],39%,3.5 3.45 3.3,2022-07-18T17:58:38.189559,2022-07-18T17:58:38.189559,0.0
"['Botosani', 'Chindia Targ.']",39%,2.6 2.95 4.0,2022-07-18T17:58:38.190549,2022-07-18T17:58:38.190549,0.0
['UTA Arad - Petrolul'],39%,3.15 3.0 3.5,2022-07-18T18:18:43.365319,2022-07-18T18:18:43.365319,0.0
['UTA Arad - Petrolul'],39%,3.15 3.15 3.1,2022-07-18T18:18:43.369319,2022-07-18T18:18:43.369319,0.0
['UTA Arad - Petrolul'],39%,2.6 3.1 3.5,2022-07-18T18:18:43.370409,2022-07-18T18:18:43.370409,0.0
['UTA Arad - Petrolul'],39%,2.6 3.05 3.5,2022-07-18T18:18:43.371400,2022-07-18T18:18:43.371400,0.0
['ACS Sepsi OSK Sfântul Gheorghe FC Argeş'],39%,3.15 3.0 4.75,2022-07-18T18:18:43.372427,2022-07-18T18:18:43.372427,0.0
['ACS Sepsi OSK Sfântul Gheorghe FC Argeş'],39%,3.15 3.7 3.1,2022-07-18T18:18:43.373406,2022-07-18T18:18:43.373406,0.0
['ACS Sepsi OSK Sfântul Gheorghe FC Argeş'],39%,2.6 3.05 4.75,2022-07-18T18:18:43.374398,2022-07-18T18:18:43.374398,0.0
['ACS Sepsi OSK Sfântul Gheorghe FC Argeş'],39%,2.6 3.7 3.15,2022-07-18T18:18:43.375363,2022-07-18T18:18:43.375363,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 3.0 3.9,2022-07-18T18:18:43.376332,2022-07-18T18:18:43.376332,0.0
"['Petrolul', 'Voluntari']",39%,2.6 2.9 3.9,2022-07-18T18:18:43.377320,2022-07-18T18:18:43.377320,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,3.25 2.87 2.97,2022-07-18T18:18:43.378319,2022-07-18T18:18:43.378319,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,3.25 3.05 3.4,2022-07-18T18:18:43.379319,2022-07-18T18:18:43.379319,0.0
['SC FC Voluntari SA FC Botoşani'],39%,3.25 3.0 3.4,2022-07-18T18:18:43.380318,2022-07-18T18:18:43.380318,0.0
['SC FC Voluntari SA FC Botoşani'],39%,2.75 3.0 3.4,2022-07-18T18:18:43.381319,2022-07-18T18:18:43.381319,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 2.9 3.9,2022-07-18T18:18:43.382382,2022-07-18T18:18:43.382382,0.0
"['Petrolul', 'Voluntari']",39%,3.15 3.15 3.1,2022-07-18T18:18:43.383401,2022-07-18T18:18:43.383401,0.0
"['Petrolul', 'Voluntari']",39%,3.15 3.0 3.5,2022-07-18T18:18:43.384398,2022-07-18T18:18:43.384398,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.1 3.5,2022-07-18T18:18:43.385420,2022-07-18T18:18:43.385420,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.05 3.5,2022-07-18T18:18:43.386370,2022-07-18T18:18:43.386370,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.15 3.9,2022-07-18T18:18:43.387440,2022-07-18T18:18:43.387440,0.0
['FC Botosani AFC Chindia Targoviste'],39%,3.25 3.05 3.4,2022-07-18T18:18:43.388422,2022-07-18T18:18:43.388422,0.0
['FC Botosani AFC Chindia Targoviste'],39%,3.25 2.87 2.97,2022-07-18T18:18:43.389376,2022-07-18T18:18:43.389376,0.0
['FC Petrolul Ploiesti FC Voluntari'],39%,2.37 3.15 3.9,2022-07-18T18:18:43.390328,2022-07-18T18:18:43.390328,0.0
['FC Botoşani Chindia Târgovişte'],39%,2.45 3.05 3.8,2022-07-18T18:18:43.391322,2022-07-18T18:18:43.391322,0.0
['SC FC Voluntari SA FC Botoşani'],39%,3.25 3.05 2.85,2022-07-18T18:18:43.391322,2022-07-18T18:18:43.391322,0.0
['ACS Sepsi OSK Sfântul Gheorghe FC Argeş'],39%,3.15 3.15 4.75,2022-07-18T18:18:43.392328,2022-07-18T18:18:43.392328,0.0
['SC FC Voluntari SA FC Botoşani'],39%,3.25 3.0 2.97,2022-07-18T18:18:43.393321,2022-07-18T18:18:43.393321,0.0
['ACS Sepsi OSK Sfântul Gheorghe FC Argeş'],39%,3.15 3.7 3.5,2022-07-18T18:18:43.394320,2022-07-18T18:18:43.394320,0.0
['Mioveni Farul Constanța'],39%,3.0 3.1 3.35,2022-07-18T18:18:43.395320,2022-07-18T18:18:43.395320,0.0
['U Craiova 1948 SA CFR Cluj'],39%,3.9 3.25 4.0,2022-07-18T18:18:43.396319,2022-07-18T18:18:43.396319,0.0
['Universitatea Cluj Universitatea Craiova'],39%,4.2 3.25 3.95,2022-07-18T18:18:43.397364,2022-07-18T18:18:43.397364,0.0
['Rapid Bucureşti FCSB'],39%,3.5 3.35 3.25,2022-07-18T18:18:43.398354,2022-07-18T18:18:43.398354,0.0
['Mioveni Farul Constanța'],39%,3.4 3.3 2.97,2022-07-18T18:18:43.399366,2022-07-18T18:18:43.399366,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 3.1 3.5,2022-07-18T18:18:43.400399,2022-07-18T18:18:43.400399,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.1 3.9 16.5,2022-07-18T18:18:43.401398,2022-07-18T18:18:43.401398,0.0
['Mioveni Farul Constanța'],39%,3.4 3.05 4.6,2022-07-18T18:18:43.402388,2022-07-18T18:18:43.402388,0.0
['Petrolul Ploieşti SC FC Voluntari SA'],39%,2.6 3.15 3.9,2022-07-18T18:18:43.403409,2022-07-18T18:18:43.403409,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.1 3.25 6.0,2022-07-18T18:18:43.404367,2022-07-18T18:18:43.404367,0.0
['U Craiova 1948 SA CFR Cluj'],39%,4.1 10.0 6.5,2022-07-18T18:18:43.405361,2022-07-18T18:18:43.405361,0.0
['Universitatea Cluj Universitatea Craiova'],39%,4.0 3.3 3.5,2022-07-18T18:18:43.406347,2022-07-18T18:18:43.406347,0.0
"['Petrolul', 'Voluntari']",39%,3.15 3.7 3.1,2022-07-18T18:18:43.407321,2022-07-18T18:18:43.407321,0.0
"['Petrolul', 'Voluntari']",39%,3.15 3.0 4.75,2022-07-18T18:18:43.408319,2022-07-18T18:18:43.408319,0.0
"['Petrolul', 'Voluntari']",39%,2.6 3.05 4.75,2022-07-18T18:18:43.409318,2022-07-18T18:18:43.409318,0.0
"['Petrolul', 'Voluntari']",39%,2.6 2.95 3.9,2022-07-18T18:18:43.410318,2022-07-18T18:18:43.410318,0.0
['FC Botosani AFC Chindia Targoviste'],39%,3.25 3.0 3.4,2022-07-18T18:18:43.411318,2022-07-18T18:18:43.411318,0.0
['FC Botosani AFC Chindia Targoviste'],39%,2.75 3.0 3.4,2022-07-18T18:18:43.412320,2022-07-18T18:18:43.412320,0.0
['Chindia Targoviste - AFC Hermannstadt'],39%,3.25 3.0 2.97,2022-07-18T18:18:43.413318,2022-07-18T18:18:43.413318,0.0
['UTA Arad - Petrolul'],39%,3.15 3.7 3.5,2022-07-18T18:18:43.414427,2022-07-18T18:18:43.414427,0.0
